sensor_id,latitude,longitude,timestamp,value
79,46.32395,11.08641,2023-07-15 04:00:00+00:00,507.0
80,46.32267,11.08787,2023-07-15 04:00:00+00:00,53.0
81,46.30213,11.08946,2023-07-15 04:00:00+00:00,407.0
84,46.31254,11.09262,2023-07-15 04:00:00+00:00,65.0
86,46.318,11.0896,2023-07-15 04:00:00+00:00,47.0
87,46.32371,11.09077,2023-07-15 04:00:00+00:00,242.66666666666666
88,46.31141,11.08629,2023-07-15 04:00:00+00:00,243.33333333333334
1,46.31213,11.08839,2023-07-15 05:00:00+00:00,90.75
2,46.32987,11.08961,2023-07-15 05:00:00+00:00,376.0
4,46.32096,11.0838,2023-07-15 05:00:00+00:00,449.5
5,46.3085,11.08802,2023-07-15 05:00:00+00:00,225.5
6,46.3169,11.0942,2023-07-15 05:00:00+00:00,97.0
9,46.31227,11.09467,2023-07-15 05:00:00+00:00,40.666666666666664
10,46.31411,11.08359,2023-07-15 05:00:00+00:00,32.75
11,46.31593,11.0862,2023-07-15 05:00:00+00:00,30.0
60,46.31769,11.07855,2023-07-15 05:00:00+00:00,90.0
77,46.31392,11.09142,2023-07-15 05:00:00+00:00,45.0
78,46.3157,11.08748,2023-07-15 05:00:00+00:00,111.0
79,46.32395,11.08641,2023-07-15 05:00:00+00:00,507.0
80,46.32267,11.08787,2023-07-15 05:00:00+00:00,54.333333333333336
81,46.30213,11.08946,2023-07-15 05:00:00+00:00,403.0
84,46.31254,11.09262,2023-07-15 05:00:00+00:00,65.0
86,46.318,11.0896,2023-07-15 05:00:00+00:00,47.0
87,46.32371,11.09077,2023-07-15 05:00:00+00:00,234.75
88,46.31141,11.08629,2023-07-15 05:00:00+00:00,239.75
1,46.31213,11.08839,2023-07-15 06:00:00+00:00,82.0
2,46.32987,11.08961,2023-07-15 06:00:00+00:00,374.0
4,46.32096,11.0838,2023-07-15 06:00:00+00:00,445.5
5,46.3085,11.08802,2023-07-15 06:00:00+00:00,223.0
6,46.3169,11.0942,2023-07-15 06:00:00+00:00,93.0
